period_value,Females,Males
Birth - 0-4,0.27641363002466135,0.2792657700296457
0-4 - 5-9,0.22832010196914165,0.22752681670630626
5-9 - 10-14,0.1743472010840264,0.17019993912587283
10-14 - 15-19,0.1861001600456023,0.16218294354383622
15-19 - 20-24,0.3581374929644847,0.2938447850508054
20-24 - 25-29,0.451114606411414,0.40990281320196226
25-29 - 30-34,0.3970589550965315,0.3962652919205353
30-34 - 35-39,0.30038494401499155,0.31804910382242896
35-39 - 40-44,0.21961943940749504,0.2383072426933186
40-44 - 45-49,0.1678571000127333,0.18051238620350413
45-49 - 50-54,0.14147151236704636,0.1477253424258385
50-54 - 55-59,0.1311554047815163,0.1340056283649325
55-59 - 60-64,0.12571051155240193,0.12842210843225207
60-64 - 65-69,0.1157273254726372,0.11944551077548354
65-69 - 70-74,0.09725873594085742,0.10085327322871734
70-74 - 75-79,0.07270576137681517,0.07463975172262846
75-79 - 80-84,0.04792957466212033,0.04792664545048148
80+ - 85+,0.02800088440160924,0.026985014976220023
