Sex,period_value,2001-06,2006-11,2011-16
Females,Birth - 0-4,2842.5230897016377,2300.6961514087557,1967.4958344169506
Females,0-4 - 5-9,474.37481466503215,367.57198008622146,307.03262710955585
Females,5-9 - 10-14,288.84975152770164,242.82117536579494,196.1125164837888
Females,10-14 - 15-19,580.1653706532404,519.1386999066107,458.5549825007477
Females,15-19 - 20-24,1016.4574801611485,920.6305160928537,851.0473743585883
Females,20-24 - 25-29,1114.7711437962419,1077.1458321819903,1036.72361232289
Females,25-29 - 30-34,1547.816749602615,1407.8303721726268,1423.9939583816665
Females,30-34 - 35-39,2147.5194905156764,2064.6168928437123,1916.4977481157835
Females,35-39 - 40-44,3060.848412487795,2990.452828833511,2893.479764056234
Females,40-44 - 45-49,4900.357395543117,4838.461196663852,4788.658547609395
Females,45-49 - 50-54,6933.348824909218,7065.261925836617,6882.829897962769
Females,50-54 - 55-59,10083.745027317475,9899.611252114513,10151.17088825295
Females,55-59 - 60-64,11750.550972381252,13905.903670087613,13667.486151337456
Females,60-64 - 65-69,14956.962340172195,16003.738783092142,18850.8201642095
Females,65-69 - 70-74,20844.174213470524,21445.028617657677,23634.627928675483
Females,70-74 - 75-79,33931.934708427456,30201.47928609758,32198.47021554702
Females,75-79 - 80-84,51415.068551362754,49577.9359623993,46383.613924305406
Females,80+ - 85+,177146.97291395307,210430.4526883229,235853.19762804193
Males,Birth - 0-4,3844.948034448152,3079.67208137021,2571.2916294880847
Males,0-4 - 5-9,783.7610493359799,593.7415094775328,476.32685092435327
Males,5-9 - 10-14,480.7918092282978,410.94591626682615,336.6767413977094
Males,10-14 - 15-19,1172.5626919704423,1031.64947554686,881.7925046515915
Males,15-19 - 20-24,2837.641328085718,2471.04534179682,2181.0709026374443
Males,20-24 - 25-29,2995.896112448242,2722.110901951096,2469.3445777659927
Males,25-29 - 30-34,3546.6989597927627,2992.61696303743,2818.6745220613207
Males,30-34 - 35-39,4321.001679323821,3995.4234165190587,3603.5154499747837
Males,35-39 - 40-44,5621.192742530166,5395.675099661839,5139.627432109695
Males,40-44 - 45-49,7768.08108987679,7476.938370208219,7199.964313949903
Males,45-49 - 50-54,11088.430773147145,11131.074070389162,10670.560023904065
Males,50-54 - 55-59,17517.974744029583,16372.8734923443,16227.937322577809
Males,55-59 - 60-64,22319.19038881878,24832.399930553063,23128.955062585093
Males,60-64 - 65-69,28400.47902214377,30000.651804659505,33313.01388392359
Males,65-69 - 70-74,35310.882863442355,36306.5681434,39439.81278933243
Males,70-74 - 75-79,49837.19042674114,44702.178936205506,48351.29329124763
Males,75-79 - 80-84,58402.61004868707,60144.70114951095,57939.156220774785
Males,80+ - 85+,108620.73804195081,139356.3080914738,167647.15244602397
